participant_id,condition,prompt_id,outline_ideas_shown,outline_detail_shown,outline_ideas_pasted,outline_characters_inserted,revision_ideas_shown,revision_ideas_applied,revision_characters_inserted_1
67f1eb2d9ccd34a445b0e325,4,b3,0,0,0,0,15,9,858
677fbf2241c218ac3f28b1cb,4,a1,0,0,0,0,9,9,958
63852fbf95d78ba25b99005e,2,a1,0,0,0,0,0,0,0
66a1fc85343b3affee39f729,4,a2,0,0,0,0,0,0,0
66a65fa27457d9821eea23b6,2,b3,3,0,0,0,0,0,0
65352328ddb089d098ab5d36,2,b1,3,2,1,437,0,0,0
5928df79366dc80001d0b788,4,b1,0,0,0,0,15,12,1154
67eac4d6bf3d1c4df7bd65df,4,b3,0,0,0,0,9,0,0
663595186fd0c6f76c84f144,4,a1,0,0,0,0,33,16,1853
67f1384261cfa13f4b12db2d,4,a1,0,0,0,0,15,11,620
67208cb4db00974fb9050f5a,2,a1,0,0,0,0,0,0,0
5bb756696322c5000159756c,4,b1,0,0,0,0,54,36,2410
5fc2c0cfdb80f9025c6b4810,4,a3,0,0,0,0,9,2,40
67e8aa454848956e5e32c19d,2,a1,3,0,0,0,0,0,0
665a081994dc662744486887,1,b1,0,0,0,0,0,0,0
677edb96bb091e27806608b9,2,b2,0,0,0,0,0,0,0
664b530d4cf8b88b68548a11,4,b3,0,0,0,0,0,0,0
5a5f7c21ac56240001543340,4,b1,0,0,0,0,23,13,671
5b126ec7c85dc400016220a4,1,b1,0,0,0,0,0,0,0
66464354449c2d4c2de11537,2,a1,3,1,1,520,0,0,0
5ce1f31a27efac0018821eed,2,a2,3,1,2,1232,0,0,0
66aa83dd5d34973838c99ad3,1,b3,0,0,0,0,0,0,0
65ff13cac7dc7dc6c54458ce,2,b1,3,1,0,0,0,0,0
6729f313d7f4a118598bc4cf,4,a2,0,0,0,0,21,3,127
5f7542c93ea2c11ba1551c51,1,a2,0,0,0,0,0,0,0
67403de187ba0c277a19a258,4,a3,0,0,0,0,33,14,1350
67b1e771274d3a16c4e32358,4,a1,0,0,0,0,0,0,0
6779c8fd10ec19bf89b5f9d8,1,a1,0,0,0,0,0,0,0
67d09ba717ec412519ebf44b,1,b1,0,0,0,0,0,0,0
67e71c9c4c220e0f0df2ef30,1,a2,0,0,0,0,0,0,0
65e1f75ab3efd22e847cfbf0,1,b3,0,0,0,0,0,0,0
